
BAC Bank of America Corp,13.96,-0.18,-1.27%,Zions 6.95% Fixed to...,U.S. Bancorp,Mitsubishi UFJ Finan...,American Express
FCX Freeport-McMoRan Inc,4.74,+0.14,+3.04%,Teck Resources Ltd,Western Copper and G...,Pacific Booker Miner...,Southern Copper Corp
PFE Pfizer Inc,30.17,-0.32,-1.05%,Novartis,Allergan plc,Merck,Allergan
FB Facebook Inc,115.09,+2.88,+2.57%,Alibaba Group Holdin...,Baidu,JD.com,Thomson Reuters
MSFT Microsoft Corp,54.71,-0.38,-0.69%,Oracle,SAP SE,Salesforce.com,Adobe
GE General Electric Co,28.64,-0.46,-1.58%,Koninklijke Philips ...,Corning,LG Display Co Ltd,Semiconductor Manufa...
AAPL Apple Inc,96.43,-0.91,-0.93%,EchoStar Corp,Calix Inc,Vocera Communication...,Applied Optoelectron...
KMI Kinder Morgan Inc,15.19,-1.26,-7.66%,Enterprise Products ...,TransCanada Corp,Williams Partners LP,Spectra Energy Partn...
F Ford Motor Co,12.07,+0.13,+1.09%,GM,Honda,Tesla,PACCAR Inc
T AT&T Inc,36.18,+0.12,+0.33%,Verizon,NTT Docomo Inc,Vodafone
